site,name,lat,lng
23090,ADELAIDE (KENT TOWN),-34.9211,138.6216
23037,ADELAIDE (PARAFIELD PLANT INTRODUCTION C,-34.7833,138.6242
23031,ADELAIDE (WAITE INSTITUTE),-34.9697,138.6331
23000,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),-34.9257,138.5832
23034,ADELAIDE AIRPORT,-34.9524,138.5196
9999,ALBANY AIRPORT,-34.9411,117.8158
9741,ALBANY AIRPORT COMPARISON,-34.9414,117.8022
15590,ALICE SPRINGS AIRPORT,-23.7951,133.889
58131,ALSTONVILLE TROPICAL FRUIT RESEARCH STAT,-28.8521,153.4556
86147,ASPENDALE CSIRO,-38.0333,145.1
15527,AYERS ROCK,-25.34,131.0583
33002,AYR DPI RESEARCH STN,-19.6169,147.3758
67068,BADGERYS CREEK MCMASTERS F.STN,-33.8683,150.7278
10244,BAKERS HILL,-31.7469,116.4561
92003,BICHENO (COUNCIL DEPOT),-41.8739,148.3036
39006,BILOELA DPI,-24.3789,150.5164
32061,BOTTOM OF PIN GIN HILL,-17.5333,145.9667
40428,BRIAN PASTURES,-25.655,151.745
35149,BRIGALOW RESEARCH STN,-24.8353,149.8003
40223,BRISBANE AERO,-27.4178,153.1142
40842,BRISBANE AERO,-27.3917,153.1292
40214,BRISBANE REGIONAL OFFICE,-27.466,153.027
3003,BROOME AIRPORT,-17.9475,122.2352
14629,BULMAN,-13.6667,134.3333
86351,BUNDOORA (LATROBE UNIVERSITY),-37.7163,145.0453
95003,BUSHY PARK (BUSHY PARK ESTATES),-42.7097,146.8983
71030,CABRAMURRA SMHEA,-35.9333,148.3833
72091,CABRAMURRA SMHEA,-35.9383,148.3842
31011,CAIRNS AERO,-16.8736,145.7458
3040,CAMBALLIN,-17.9903,124.1922
37010,CAMOOWEAL TOWNSHIP,-19.9225,138.1214
93036,CAMPBELL TOWN,-41.9333,147.4833
70351,CANBERRA AIRPORT,-35.3088,149.2004
70014,CANBERRA AIRPORT COMPARISON,-35.3049,149.2014
70282,CANBERRA CITY,-35.2667,149.1167
70015,CANBERRA FORESTRY,-35.3,149.1
300017,CASEY,-66.2825,110.5231
300006,CASEY (THE TUNNEL),-66.2833,110.5333
18012,CEDUNA AMO,-32.1297,133.6976
14703,CENTRE ISLAND,-15.7426,136.8192
29009,CLONCURRY AERO,-20.6717,140.5083
48027,COBAR MO,-31.484,145.8294
59040,COFFS HARBOUR MO,-30.3107,153.1187
50102,CONDOBOLIN SOIL CONSERVATION,-33.0833,147.15
32135,COWLEY JTTRE,-17.6833,146.1167
63023,COWRA RESEARCH CENTRE (EVANS ST),-33.8087,148.7071
86375,CRANBOURNE BOTANIC GARDENS,-38.1348,145.2637
91022,CRESSY RESEARCH STATION (MAIN OFFICE),-41.7217,147.0806
98001,CURRIE POST OFFICE,-39.9322,143.8486
14618,DALY WATERS,-16.2529,133.37
14626,DALY WATERS AIRSTRIP,-16.2637,133.3782
5061,DAMPIER SALT,-20.7278,116.7483
82076,DARTMOUTH RESERVOIR,-36.5353,147.4984
14015,DARWIN AIRPORT,-12.4239,130.8925
14161,DARWIN REGIONAL OFFICE,-12.4667,130.8333
300000,DAVIS,-68.5744,77.9672
74128,DENILIQUIN (VISITOR INFORMATION CENTRE),-35.5283,144.9651
74039,DENILIQUIN FALKINER MEMORIAL,-35.3667,145.05
9637,DENMARK RES.STN.,-34.9511,117.37
81013,DOOKIE AGRICULTURAL COLLEGE,-36.3717,145.7048
14901,DOUGLAS RIVER RESEARCH FARM,-13.8345,131.1872
9538,DWELLINGUP,-32.7103,116.0594
85072,EAST SALE,-38.1156,147.1322
91030,ELLIOTT RESEARCH STATION,-41.0828,145.7725
99005,FLINDERS ISLAND AIRPORT,-40.0911,148.0024
91186,FORTHSIDE RESEARCH STATION,-41.2039,146.265
13017,GILES METEOROLOGICAL OFFICE,-25.0341,128.301
56013,GLEN INNES AG RESEARCH STN,-29.6952,151.6935
10554,GLEN LOSSIE,-33.8167,117.1667
40454,GLENLOGAN FIELD STATION,-27.8333,153.0
14508,GOVE AIRPORT,-12.2741,136.8201
75028,GRIFFITH CSIRO,-34.3183,146.0667
94069,GROVE (COMPARISON),-42.983,147.0771
94220,GROVE (RESEARCH STATION),-42.9858,147.0742
55024,GUNNEDAH RESOURCE CENTRE,-31.0261,150.2687
91240,GUNNS PLAINS,-41.3,145.9833
2012,HALLS CREEK METEOROLOGICAL OFFICE,-18.2291,127.6636
90103,HAMILTON RESEARCH STATION,-37.825,142.0644
300005,HEARD ISLAND (ATLAS COVE),-53.019,73.3918
41044,HERMITAGE,-28.2061,152.1003
39122,HERON ISLAND RES STN,-23.4417,151.9125
94029,HOBART (ELLERSLIE ROAD),-42.8897,147.3278
94008,HOBART AIRPORT,-42.8339,147.5033
41341,INGLEWOOD TOBACCO RES,-28.5,150.9333
56018,INVERELL RESEARCH CENTRE,-29.7752,151.082
71031,ISLAND BEND,-36.3333,148.4833
14198,JABIRU AIRPORT,-12.6592,132.894
31034,KAIRI RESEARCH STATION,-17.2186,145.565
14837,KEEP RIVER NTA,-15.4167,129.1667
72060,KHANCOBAN SMHEA,-36.2254,148.1431
2014,KIMBERLEY RES.STATION,-15.6545,128.7091
26070,KONETTA E&WS,-37.2667,140.1167
80091,KYABRAM,-36.335,145.0638
18044,KYANCUTTA,-33.1337,135.5521
26013,KYBYBOLITE RESEARCH CENTRE,-36.8803,140.9286
14829,LAJAMANU AIRPORT,-18.3324,130.6361
88023,LAKE EILDON,-37.2313,145.9124
92085,LAKE LEAKE (CHALET),-42.0097,147.7933
92019,LAKE LEAKE (ELIZABETH RIVER),-42.0067,147.7975
96015,LAKE ST CLAIR (HEC),-42.1,146.2167
16081,LAKE TORRENS,-31.8953,137.7144
14612,LARRIMAH,-15.5748,133.2137
91179,LAUNCESTON (RADIO STATION 7EX),-41.45,147.15
91104,LAUNCESTON AIRPORT COMPARISON,-41.5397,147.2033
87031,LAVERTON RAAF,-37.8565,144.7565
23801,LENSWOOD,-34.9482,138.8071
96033,LIAWENEE,-41.8997,146.6694
96065,LIAWENEE COMPARISON,-41.8983,146.6672
61288,LOSTOCK DAM,-32.3322,151.4595
24024,LOXTON RESEARCH CENTRE,-34.439,140.5978
24023,LOXTON RESEARCH CENTRE,-34.4333,140.6
33119,MACKAY M.O,-21.1172,149.2169
300004,MACQUARIE ISLAND,-54.4994,158.9369
9573,MANJIMUP,-34.2508,116.145
61223,MARYVILLE,-32.9131,151.75
300001,MAWSON,-67.6017,62.8753
95011,MAYDENA,-42.7636,146.5972
14704,MCARTHUR RIVER MINE AIRPORT,-16.4423,136.076
86282,MELBOURNE AIRPORT,-37.6654,144.8322
86071,MELBOURNE REGIONAL OFFICE,-37.8075,144.97
76026,MERBEIN CSIRO RESEARCH STATION,-34.2133,142.04
14090,MIDDLE POINT RANGERS,-12.5782,131.3145
24545,MILANG DEPT OF AGRIC.,-35.4167,138.9667
76031,MILDURA AIRPORT,-34.2358,142.0867
33090,MILLAROO DPI,-20.0464,147.2739
18052,MINNIPA AGRICULTURAL CENTRE,-32.8361,135.15
53115,MOREE AERO,-29.4898,149.8471
53048,MOREE COMPARISON,-29.4819,149.8383
26019,MOUNT BURR FOREST RESERVE,-37.5575,140.4197
26021,MOUNT GAMBIER AERO,-37.7473,140.7739
29127,MOUNT ISA AERO,-20.6778,139.4875
29126,MOUNT ISA MINE,-20.7361,139.4817
10152,MURESK INSTITUTE,-31.75,116.6833
40282,NAMBOUR DPI,-26.6431,152.9392
200288,NORFOLK ISLAND AERO,-29.0389,167.9408
68076,NOWRA RAN AIR STATION,-34.9449,150.545
23321,NURIOOTPA COMPARISON,-34.4767,139.0047
23373,NURIOOTPA PIRSA,-34.4761,139.0056
17043,OODNADATTA AIRPORT,-27.5553,135.4456
63254,ORANGE AGRICULTURAL INSTITUTE,-33.3211,149.0828
26089,PADTHAWAY,-36.5958,140.4864
7178,PARABURDOO,-23.2028,117.6692
31076,PARADA RESEARCH STATION,-17.1467,145.24
22814,PARNDANA EAST RESEARCH STATION,-35.8,137.3333
9592,PEMBERTON,-34.4478,116.0433
9021,PERTH AIRPORT,-31.9275,115.9764
9034,PERTH REGIONAL OFFICE,-31.9556,115.8697
18181,PORT LINCOLN (TOD RIVER),-34.4906,135.8511
15666,RABBIT FLAT,-20.1823,130.0148
15548,RABBIT FLAT,-20.1883,130.0161
67033,RICHMOND RAAF,-33.6022,150.7794
23020,ROSEWORTHY AGRIC COLLEGE,-34.5267,138.6883
82039,RUTHERGLEN RESEARCH,-36.1048,146.5094
97047,SAVAGE RIVER MINE,-41.4892,145.2083
92094,SCAMANDER,-41.4639,148.2644
61089,SCONE SCS,-32.0632,150.9271
86104,SCORESBY RESEARCH INSTITUTE,-37.871,145.2561
91246,SCOTTSDALE (FORESTRY),-41.1608,147.5156
91116,SCOTTSDALE (KRAFT FOODS),-41.15,147.5167
91219,SCOTTSDALE (WEST MINSTONE ROAD),-41.1708,147.4883
32037,SOUTH JOHNSTONE EXP STN,-17.6053,145.9972
71029,SPENCERS CREEK,-36.4333,148.35
9109,STONEVILLE RESEARCH STN,-31.8531,116.1783
97082,STRAHAN (LODGE),-42.1514,145.3028
97067,STRAHAN (VIVIAN STREET),-42.1558,145.3267
97072,STRAHAN AERODROME,-42.155,145.2908
97048,STRATHGORDON (THE KNOB),-42.7333,145.9833
97053,STRATHGORDON VILLAGE,-42.7681,146.0461
26082,STRUAN,-37.0951,140.7911
92038,SWANSEA POST OFFICE,-42.1236,148.0731
66062,SYDNEY (OBSERVATORY HILL),-33.8607,151.205
66037,SYDNEY AIRPORT AMO,-33.9465,151.1731
55327,TAMWORTH (OXLEY LANE),-31.1259,150.8323
55054,TAMWORTH AIRPORT,-31.0867,150.8467
81049,TATURA INST SUSTAINABLE AG,-36.4378,145.2672
33047,TE KOWAI EXP STN,-21.1642,149.1192
15135,TENNANT CREEK AIRPORT,-19.6423,134.1833
91099,TEWKESBURY,-41.2314,145.7061
14925,TIPPERARY,-13.7352,131.0437
86142,TOOLANGI (MOUNT ST LEONARD DPI),-37.572,145.5014
32040,TOWNSVILLE AERO,-19.2483,146.7661
40082,UNIVERSITY OF QUEENSLAND GATTON,-27.5436,152.3375
40457,WACOL DPI,-27.5767,152.9042
72150,WAGGA WAGGA AMO,-35.1583,147.4575
74114,WAGGA WAGGA RESEARCH CENTRE,-35.1311,147.3091
24041,WAIKERIE (GOLDEN HEIGHTS),-34.1944,139.9378
31108,WALKAMIN RESEARCH STATION,-17.1347,145.4281
14513,WALLABY BEACH,-12.1933,136.71
41525,WARWICK,-28.2061,152.1003
27045,WEIPA AERO,-12.6778,141.9208
27042,WEIPA EASTERN AVE,-12.6267,141.8836
65034,WELLINGTON (D&J RURAL),-32.5635,148.9503
65035,WELLINGTON RESEARCH CENTRE,-32.5059,148.9708
87065,WERRIBEE RESEARCH FARM,-37.9,144.6833
300003,WILKES,-66.25,110.5833
61078,WILLIAMTOWN RAAF,-32.7939,151.8364
9642,WOKALUP,-33.1328,115.8794
16001,WOOMERA AERODROME,-31.1558,136.8054
85103,YALLOURN SEC,-38.1858,146.3317
